id_documento,id_empresa,id_cliente,id_fornecedor,tipo_documento,numero_documento,serie_documento,chave_acesso,data_emissao,tipo_operacao,valor,status_documento
82,3,,37.0,CT-e,304257,3,73846895009751971284781891371894905807787956,2026-06-20,Entrada,3019.03,Cancelada
83,3,47.0,,NFC-e,808789,7,94079290490471281442944401929275243728051292,2026-03-23,Saída,19188.21,Ativa
84,3,,14.0,CT-e,711638,3,95041027674783667428604765801856945441496739,2026-03-07,Entrada,25198.93,Ativa
85,3,,5.0,NF-e,271782,5,06181753443009109391119269212447174654214066,2026-05-01,Entrada,14398.77,Ativa
86,3,,40.0,CT-e,350636,5,62712863917410119470720064256908776618306719,2026-03-17,Entrada,32169.06,Ativa
87,3,,24.0,NFS-e,778048,10,85174328063461571732030937618478700505061387,2026-04-10,Entrada,18792.26,Ativa
88,3,,32.0,NFS-e,460969,4,07903202041792911179931365651982530925114262,2026-08-10,Entrada,74068.91,Ativa
89,3,,40.0,NFS-e,290854,1,62071002194672324876329092791456083318195883,2026-07-30,Entrada,15658.78,Ativa
90,3,32.0,,NFC-e,152981,4,22005436459701082207811379956353153136363179,2026-03-23,Saída,74245.39,Ativa
91,4,24.0,,NFS-e,959141,10,27354352090421776253492929831687397740633569,2026-09-02,Saída,71880.49,Ativa
92,4,,3.0,NFS-e,826954,2,78068671773180632543107427990772625701658046,2026-07-09,Entrada,49712.33,Ativa
93,4,,33.0,NF-e,198503,8,50165790552818325381793355486401557788178847,2026-02-01,Entrada,7167.24,Ativa
94,4,,19.0,CT-e,808141,1,11241272380468275670431038569557988774924243,2026-04-23,Entrada,12037.4,Ativa
95,4,,40.0,NFS-e,839416,10,28422223105927452380552578284106727520885474,2026-07-02,Entrada,58337.79,Cancelada
96,4,45.0,,CT-e,369422,5,28422223105927452380552578284106727520885474,2025-12-31,Saída,78206.39,Ativa
97,4,,14.0,NF-e,162505,5,76742662991234785196106462879232648704947873,2025-11-30,Entrada,24153.52,Ativa
98,4,8.0,,NFS-e,802834,2,46273014719597964715890429025725204565044818,2026-03-22,Saída,47981.25,Ativa
99,4,21.0,,CT-e,31156,2,44518952028457652132833898881671120754527985,2026-01-18,Saída,17944.16,Ativa
100,4,,15.0,NF-e,104919,10,42321611076031089071401401193932501249552893,2026-03-23,Entrada,61106.87,Ativa
101,4,,19.0,NFC-e,198955,2,28013875927125663836151718275480157164794738,2026-06-02,Entrada,71601.42,Ativa
102,4,12.0,,NFS-e,32167,2,07167811266912153539613674994657967842711477,2026-01-13,Saída,59076.31,Ativa
103,4,44.0,,NFC-e,802123,2,02695249911877347784858800616756770028427624,2026-02-16,Saída,45594.65,Ativa
104,4,31.0,,NFC-e,690719,7,82806479695450090255905616556503334911415208,2026-08-20,Saída,45530.34,Cancelada
105,4,2.0,,NFS-e,365187,2,79056965917135785294563718344049639191954198,2025-09-04,Saída,52192.64,Ativa
106,4,28.0,,NF-e,158246,4,85366498782082973748969083572324665136442493,2025-09-16,Saída,2410.79,Ativa
107,4,30.0,,NFC-e,845986,4,78660324204482070015941651623198189847139155,2025-12-16,Saída,74852.91,Ativa
108,4,,12.0,NFS-e,961381,8,34764907851586734257540900348645183760644134,2025-09-09,Entrada,50581.95,Ativa
109,4,3.0,,CT-e,209314,2,41776561248156985700272063459112382965772429,2025-10-23,Saída,33276.81,Ativa
110,4,37.0,,NFS-e,31170,5,30089317342069694215291086771333447626393436,2026-07-25,Saída,78095.03,Ativa
111,4,16.0,,NFS-e,95002,6,59710725636694118005375990048964652809242875,2025-09-06,Saída,56878.39,Ativa
112,4,8.0,,NFS-e,911345,5,50274564494856257287032032074276170758777121,2026-08-29,Saída,14616.27,Ativa
113,4,37.0,,NFC-e,98046,7,93908926137150416591520177749050975923045018,2025-11-21,Saída,20562.08,Ativa
114,4,6.0,,NFC-e,459600,2,03266421476492515837767499616592661085732788,2025-12-27,Saída,72595.18,Ativa
115,4,,9.0,CT-e,914955,2,43864908108186617945491801722601645977945232,2026-06-12,Entrada,34817.15,Ativa
116,4,8.0,,NFS-e,310153,10,02776974995641220310303723683147276012277707,2026-08-14,Saída,66390.17,Ativa
117,4,1.0,,CT-e,967509,10,16679984076789973080695814671795760243757383,2026-07-01,Saída,68305.61,Ativa
118,4,9.0,,CT-e,807747,1,46657293417223297167433800545228015619318374,2026-08-05,Saída,61653.57,Ativa
119,4,,33.0,NFS-e,159975,9,91077119918081213524787125521376037548214565,2026-03-09,Entrada,33853.43,Ativa
120,4,27.0,,CT-e,89374,1,67850720811556260602908466845504892673899756,2026-03-31,Saída,43087.19,Ativa
121,5,,34.0,NFC-e,545909,4,84318848520089434681054851017490753998935449,2026-03-31,Entrada,8597.11,Ativa
122,5,,24.0,NF-e,631823,7,71266110627371586988649767762282772881377028,2025-10-08,Entrada,9004.83,Ativa
123,5,3.0,,NFC-e,407045,4,82154544702296044327018510679497567922877725,2026-02-19,Saída,72039.5,Ativa
124,5,,29.0,CT-e,401567,5,41209481813989098378018204339718956907056260,2025-10-30,Entrada,7463.8,Cancelada
125,5,,19.0,NFS-e,959120,1,22412462095200461526546103399378861405786170,2025-12-09,Entrada,21678.95,Cancelada
126,5,,16.0,NFS-e,761294,9,82496718325823868700794200749465398402891416,2026-07-25,Entrada,79905.94,Ativa
127,5,,40.0,NF-e,796262,5,82496718325823868700794200749465398402891416,2025-12-04,Entrada,54508.24,Ativa
128,5,,6.0,NF-e,896336,6,94337504793036149872839992192124938430894870,2025-12-06,Entrada,34717.34,Inutilizada
129,5,8.0,,NFS-e,990381,2,87758030468750635190361332541107609543173505,2025-12-22,Saída,62104.81,Ativa
130,5,,29.0,NF-e,625086,2,91100651207049611080466196399076769915078593,2026-03-31,Entrada,47512.34,Ativa
131,5,,33.0,NFC-e,729531,8,45679723200249685498227495450892038806533315,2026-03-30,Entrada,48061.03,Ativa
132,5,40.0,,CT-e,889704,9,46521707303379337563620501508124739500334234,2025-11-22,Saída,19827.95,Ativa
133,5,,17.0,NF-e,823781,8,10261534735528961122338655963099384253042897,2025-10-02,Entrada,63321.58,Ativa
134,5,,33.0,CT-e,447800,8,68578725587774969033373634669254812147853907,2025-12-31,Entrada,37510.57,Ativa
135,5,21.0,,NFS-e,908507,7,46027341514888143111508353544439284044566907,2026-02-27,Saída,18360.76,Ativa
136,5,,31.0,NFC-e,215124,7,38987751536637780529240755366684590902259999,2026-03-01,Entrada,5284.0,Ativa
137,5,7.0,,NFC-e,167494,10,59741218209702316433481705802566212867163234,2026-07-29,Saída,46092.29,Ativa
138,5,,33.0,NFS-e,953879,8,74302716938597779014754692632967629160324841,2026-05-18,Entrada,33020.0,Ativa
139,5,,24.0,NFC-e,177636,2,11856724380701765636004125777118372742209124,2026-06-30,Entrada,53777.09,Ativa
140,5,10.0,,NFC-e,985532,7,75230837081647090063353310600531312206815583,2025-10-08,Saída,9840.16,Ativa
141,5,21.0,,NF-e,244904,1,20650637314950136497189241956252571509976838,2026-04-26,Saída,49384.62,Ativa
142,5,16.0,,NFS-e,55638,3,63910257432630397524508640355338033968527017,2025-09-17,Saída,75074.31,Ativa
143,5,,38.0,CT-e,399930,8,83381674233629344973471566277689627066149828,2026-06-26,Entrada,24606.61,Ativa
144,5,5.0,,NFS-e,267640,4,52732300857666567491601692364587506633705024,2026-01-21,Saída,48251.52,Cancelada
145,5,,1.0,NFS-e,528028,2,11669183626448869461195243640270116864622522,2026-06-15,Entrada,36162.73,Ativa
146,5,,13.0,CT-e,331536,4,02346791214161415093771004090138069847759655,2026-08-06,Entrada,75291.09,Ativa
147,5,40.0,,NF-e,135072,8,05510762091843579786305050573976915671649328,2026-01-04,Saída,63786.3,Ativa
148,5,11.0,,NF-e,601665,6,71783332116025643471287153991566863341411159,2026-07-22,Saída,10367.91,Ativa
149,5,37.0,,CT-e,161119,4,04098366552899316087524377294209548149737460,2026-02-09,Saída,67875.98,Cancelada
150,5,,4.0,NFC-e,713449,3,27642086567566184438612590472927742333059126,2026-08-09,Entrada,74093.63,Ativa
151,6,12.0,,NFS-e,105271,6,01859626301367492617647501111783099974192676,2025-10-17,Saída,5267.16,Cancelada
152,6,,26.0,NFC-e,147648,10,06888718981312920875102932184011845826034084,2026-06-12,Entrada,39337.34,Ativa
153,6,39.0,,CT-e,827051,7,88310303243298395429618446267146283143598926,2026-06-03,Saída,30439.56,Cancelada
154,6,,5.0,NFC-e,501025,10,41818615155423401636112849718594849102562588,2026-07-11,Entrada,10380.26,Ativa
155,6,,9.0,NF-e,426167,1,26940539672757844683414651113129014870682778,2026-08-08,Entrada,49379.67,Cancelada
156,6,,28.0,NF-e,646430,8,85389097283215285067625153814474430963480797,2026-04-23,Entrada,26418.43,Ativa
157,6,,23.0,CT-e,945764,1,26501673188261702437654562841772256053134026,2026-04-22,Entrada,12992.94,Ativa
158,6,43.0,,NF-e,736203,9,41678725686211022580305690674471639282341436,2025-09-23,Saída,48965.82,Ativa
159,6,,15.0,NF-e,452839,3,12604326093106684335670860414545635020005347,2026-03-14,Entrada,20330.59,Ativa
160,6,20.0,,CT-e,471267,2,11082555989534396112910933711895473820236848,2025-12-29,Saída,72885.76,Ativa
161,6,34.0,,NF-e,560484,4,80294240903678812786866943202939087884434481,2026-03-29,Saída,23489.09,Ativa
162,6,9.0,,NFC-e,387547,3,40338105955184269450053424089164983735439627,2026-01-01,Saída,72193.02,Ativa
163,6,,30.0,NF-e,213149,3,22397240422693121637618209166010023142900185,2026-05-16,Entrada,38537.95,Ativa
164,6,11.0,,NFS-e,187717,7,45723084810018418620303662543617213145195151,2025-10-29,Saída,42532.36,Ativa
165,6,10.0,,NFS-e,404310,2,49451475410225267711964215226557676952366878,2026-05-07,Saída,46560.92,Ativa
166,6,,6.0,NFC-e,157989,3,49451475410225267711964215226557676952366878,2026-09-03,Entrada,37687.23,Ativa
167,6,31.0,,NFS-e,58327,6,65704120092820667849843624186236903628917756,2026-08-24,Saída,51802.45,Ativa
168,6,,7.0,NF-e,527570,3,15950342811390438303419909700514054683565215,2026-06-05,Entrada,2090.09,Ativa
169,6,38.0,,NFS-e,72472,5,04227113322889857254596063399129710248171752,2026-04-01,Saída,46205.63,Ativa
170,6,,12.0,CT-e,489508,8,74747219705466927589551687409038021462961367,2025-10-06,Entrada,51470.26,Cancelada
171,6,7.0,,NF-e,313828,8,12166365155973714708272359096056730306442121,2026-02-08,Saída,69728.87,Ativa
172,6,12.0,,NFS-e,441586,9,01654235677826596089319925502727516480727910,2026-06-18,Saída,61995.87,Ativa
173,6,,23.0,NF-e,665299,8,33905504481776655868512765289286646491111096,2025-10-28,Entrada,40368.25,Ativa
174,6,27.0,,NFC-e,136130,7,33786137157660538444463060002589552963863960,2026-01-04,Saída,78192.98,Ativa
175,6,34.0,,NF-e,117320,8,26312819648253110609209819602752334383640412,2026-02-24,Saída,74190.48,Ativa
176,6,,19.0,NFS-e,227813,6,42117536170617136657224029901557998028413908,2026-06-03,Entrada,9360.12,Ativa
177,6,9.0,,NF-e,472233,3,31244731584776863423461994237676945919663955,2026-03-23,Saída,71178.08,Cancelada
178,6,38.0,,NFC-e,716267,7,64985601256253135525105053795381649383184919,2025-12-08,Saída,25559.11,Ativa
179,6,,4.0,CT-e,731288,8,77046117295963904090742608805017164455618579,2026-01-27,Entrada,39568.26,Ativa
180,6,,24.0,NFC-e,295169,6,91030021563213580040104145964229712529671883,2026-02-09,Entrada,61856.99,Ativa
181,7,,17.0,NF-e,155444,8,41583311703037637153988547281235679836314624,2026-05-16,Entrada,70120.46,Ativa
182,7,,2.0,NFS-e,121783,1,72407875418156326868507451066343629489786103,2026-06-09,Entrada,71625.67,Ativa
183,7,,5.0,NF-e,623859,6,81439666134732354940128974325122572076502412,2026-02-26,Entrada,77569.41,Ativa
184,7,16.0,,NFC-e,377879,4,71009438822114577584745705458971480263257039,2025-11-15,Saída,59600.34,Ativa
185,7,41.0,,CT-e,866568,10,14878245569644309859167954107272849824741407,2026-01-26,Saída,10050.17,Ativa
186,7,,28.0,CT-e,595191,8,50042548821423691430753666144942965923426834,2026-03-31,Entrada,43757.29,Ativa
187,7,7.0,,CT-e,593910,8,28758575676670806129439852989406260787010415,2026-03-27,Saída,55309.31,Ativa
188,7,,38.0,NFS-e,668101,1,80382872324407931102918133170876014672384979,2026-09-02,Entrada,14947.67,Ativa
189,7,,11.0,NFC-e,538966,2,88377441975466176620471960940970527740258835,2026-03-14,Entrada,14124.85,Ativa
190,7,30.0,,NF-e,463976,6,24461767929884259959961002311775331266109410,2025-12-01,Saída,48601.36,Ativa
191,7,,21.0,NF-e,461197,7,17629833477433268319013020569815287339785598,2025-12-10,Entrada,50112.56,Ativa
192,7,,9.0,CT-e,970066,1,84117309850344651241893898469081974005643502,2026-02-07,Entrada,19002.25,Ativa
193,7,,23.0,NFC-e,963664,1,16991872401078356743000389608706626682171955,2026-05-11,Entrada,19205.98,Ativa
194,7,,15.0,NFC-e,740772,10,68900301027240559342967111483753745843845881,2026-04-02,Entrada,38999.37,Ativa
195,7,,34.0,CT-e,968519,5,34831520377107044964104967066703362680408509,2025-10-15,Entrada,64857.45,Ativa
196,7,,22.0,NF-e,462278,1,96601864876998426732044138459609454490149542,2026-02-01,Entrada,37421.87,Cancelada
197,7,41.0,,NFC-e,119680,9,83609149851724447232290310287950830440580935,2026-01-15,Saída,6380.53,Ativa
198,7,44.0,,NF-e,889767,9,61642059556574902504290193588953690261139898,2025-11-12,Saída,63896.8,Ativa
199,7,21.0,,NFS-e,604992,8,43943535375137651588157937639283692944551166,2026-01-07,Saída,50683.86,Ativa
200,7,,30.0,NF-e,160652,1,02164871206021288665268341559991015767647229,2026-05-01,Entrada,47565.55,Ativa
201,7,25.0,,CT-e,636615,2,57289413475098898645652203684995154214477324,2026-06-11,Saída,73976.37,Ativa
202,7,,7.0,NF-e,742143,6,38820908830705349678274117674124151315285478,2025-11-04,Entrada,71403.35,Ativa
203,7,,34.0,NFC-e,515034,7,53800329633472727423183061789320649693578243,2026-01-09,Entrada,47907.8,Ativa
204,7,7.0,,NFC-e,233060,10,31467536127515627796304483608545667664047350,2026-06-30,Saída,70074.63,Ativa
205,7,,40.0,NFS-e,36418,5,95298006155810835832863425563830008186702440,2026-06-24,Entrada,60043.25,Ativa
206,7,42.0,,NFC-e,763899,7,62411186008921963945680447314976461368474883,2026-04-19,Saída,76126.3,Ativa
207,7,,29.0,NFC-e,573091,8,39063757914521182379312697893074645205996043,2026-02-11,Entrada,25178.69,Ativa
208,7,30.0,,CT-e,545609,10,78811616202812371067287286604164485959224839,2026-08-07,Saída,20248.9,Ativa
209,7,48.0,,NFS-e,108978,4,22870562271043318751097921583503446945964883,2025-11-28,Saída,22542.85,Ativa
210,7,,9.0,NFS-e,175185,5,89659994973203319222705102876754813866675485,2026-05-12,Entrada,56965.54,Ativa
211,8,32.0,,NFC-e,638058,8,41865205756398365203758309451548094047604409,2025-10-30,Saída,39325.98,Ativa
212,8,,3.0,NF-e,327279,5,50922216107051843905529580660138241270493862,2026-05-27,Entrada,44932.64,Ativa
213,8,37.0,,CT-e,810889,9,19711121259020357134324064242956334324474175,2025-10-05,Saída,36083.92,Ativa
214,8,,3.0,NF-e,197200,6,96289365435884183437401827279559690515026755,2026-05-31,Entrada,24640.8,Ativa
215,8,,2.0,NFC-e,1884,3,79799667345957640381664969028249839225014257,2025-12-01,Entrada,16192.44,Ativa
216,8,6.0,,NF-e,641225,10,23361328507251786376731625265469681579039235,2026-04-18,Saída,60184.42,Cancelada
217,8,,9.0,NF-e,633958,8,73034615626244670462268171516025298670766046,2025-10-27,Entrada,40264.51,Ativa
218,8,35.0,,CT-e,768457,1,51268612059438976074017750954654084245607540,2026-07-04,Saída,42595.23,Ativa
219,8,,6.0,NFC-e,226663,7,81227645793897015502916815466024161394498830,2025-12-18,Entrada,22127.98,Ativa
220,8,,18.0,NFC-e,221869,9,80962440630624479513305319497969586780555572,2026-01-07,Entrada,55878.48,Ativa
221,8,26.0,,NFC-e,577790,7,09178513854457702992959660487368269116331942,2026-06-24,Saída,28291.56,Ativa
222,8,21.0,,NFC-e,718606,2,51588863677472264085721696663093299819960593,2025-12-24,Saída,76157.32,Ativa
223,8,36.0,,NF-e,460822,8,83275327352410397739732781952371006876164819,2026-02-22,Saída,66254.76,Ativa
224,8,47.0,,CT-e,749476,5,05687611249125652373415177345475749490228403,2026-01-03,Saída,24671.69,Ativa
225,8,31.0,,NFS-e,158379,5,74222946430394290458867925298585672872760153,2026-06-01,Saída,48769.57,Ativa
226,8,,13.0,NFS-e,615127,10,57790833506158148881079833423372094841312840,2025-11-20,Entrada,38287.13,Ativa
227,8,,21.0,NFC-e,117884,3,13717173189397490961739970469472587844483548,2026-03-22,Entrada,39108.92,Ativa
228,8,32.0,,CT-e,350933,6,22164175823133484587149392523622925879643474,2026-06-04,Saída,66372.66,Ativa
229,8,28.0,,NF-e,107367,1,96606065274033445056658833987411325797067349,2026-03-23,Saída,51242.37,Ativa
230,8,29.0,,NFC-e,449088,7,41721562294938173598488402155732573755344902,2026-04-19,Saída,64523.97,Ativa
231,8,,33.0,NFC-e,20788,1,41721562294938173598488402155732573755344902,2026-09-01,Entrada,18173.35,Ativa
232,8,15.0,,NFC-e,419568,4,95873959232342108902851553334264335027160736,2026-05-15,Saída,16609.45,Ativa
233,8,,6.0,NFS-e,593004,1,28981231795563318574817006661554164316704502,2026-05-05,Entrada,10410.27,Ativa
234,8,49.0,,NFS-e,97598,7,00934596262282251207346549500507026086982210,2026-01-19,Saída,79057.68,Ativa
235,8,30.0,,NFS-e,344874,7,68729047742585917793238223116491334245798894,2026-07-31,Saída,30106.7,Ativa
236,8,,25.0,NFS-e,100178,4,03202032650977539673794871485524578715841560,2026-03-15,Entrada,78012.01,Ativa
237,8,,36.0,NFC-e,311899,7,42547681826832303589298808583825212932896340,2025-12-06,Entrada,72096.34,Cancelada
238,8,30.0,,NFC-e,244459,8,52401484399106227236266933513426192372450184,2025-09-25,Saída,24046.01,Ativa
239,8,10.0,,NF-e,819855,8,15406417692743811995376601444856451017397396,2025-11-16,Saída,44941.53,Ativa
240,8,39.0,,CT-e,806947,3,86091919113599660577980660392051460745553470,2026-05-16,Saída,16908.61,Ativa
241,9,48.0,,NF-e,747235,10,65271559835411659726347557522501394884882691,2025-12-12,Saída,73192.84,Ativa
242,9,10.0,,NFC-e,784068,5,58562614991537038240733337320430977688936289,2026-02-20,Saída,56598.33,Inutilizada
