id_movimentacao,id_empresa,data_movimentacao,tipo_operacao,categoria,descricao_movimentacao,valor_movimentacao,conciliada
20,1,2025-10-09,Saída,Marketing,Consequatur iste perferendis quia veniam in quia.,1961.74,0
21,1,2025-10-30,Saída,Marketing,Omnis rerum nulla vel eius porro.,27154.67,1
22,1,2025-11-22,Entrada,Recebimento de Serviços,Veritatis sequi aut placeat molestias voluptate.,19328.86,0
23,1,2026-01-12,Entrada,Empréstimo,Eius voluptas veniam repudiandae at distinctio.,15281.33,0
24,1,2026-04-25,Saída,Marketing,Amet ex voluptates.,16192.79,0
25,1,2026-06-18,Entrada,Aporte de Capital,Architecto quisquam dignissimos dolor sit.,11361.37,0
26,1,2026-01-01,Saída,Despesas Administrativas,Ratione nisi eius voluptates.,967.84,1
27,1,2026-08-30,Saída,Marketing,Dolorum cupiditate optio ad accusamus ratione dolores.,21753.02,0
28,1,2025-12-31,Saída,Aluguel,Eaque consectetur in beatae.,29423.59,0
29,1,2025-09-27,Entrada,Aporte de Capital,Quod maiores autem magnam veniam aliquam quos.,29798.69,1
30,1,2026-07-17,Entrada,Receita de Venda,Error officia adipisci voluptatum sed incidunt autem.,32316.11,0
31,1,2026-05-22,Entrada,Aporte de Capital,Asperiores aspernatur non aperiam eius odio.,9495.59,0
32,1,2026-03-23,Saída,Marketing,Fugit nisi eos magni inventore recusandae.,9887.84,1
33,1,2025-10-15,Saída,Manutenção,Quam dolor iste dolorem excepturi iste impedit.,10191.27,0
34,1,2025-10-08,Saída,Combustível,Est ducimus veritatis porro labore at.,22585.09,1
35,1,2025-10-05,Saída,Combustível,Atque qui repellat nam nesciunt natus.,25063.84,0
36,1,2026-01-02,Saída,Pagamento de Fornecedor,Illum sit velit in.,22495.83,0
37,1,2026-08-04,Entrada,Empréstimo,Voluptas nobis expedita.,11599.0,0
38,1,2026-04-02,Entrada,Receita de Venda,Culpa laboriosam sed expedita nam.,37834.54,0
39,1,2025-10-15,Entrada,Recebimento de Cliente,Nemo rem sapiente voluptate repellendus.,42041.83,0
40,1,2026-04-15,Entrada,Recebimento de Cliente,Ad ut repudiandae eaque debitis praesentium est.,6747.94,0
41,1,2026-01-06,Entrada,Recebimento de Serviços,Delectus corporis omnis.,47413.97,0
42,1,2025-09-29,Saída,Combustível,At minus fugiat.,23030.25,0
43,1,2026-02-16,Entrada,Recebimento de Serviços,Fuga quam quod necessitatibus.,30558.75,0
44,1,2025-10-05,Entrada,Recebimento de Cliente,Culpa quidem amet.,48253.68,0
45,1,2025-10-03,Entrada,Recebimento de Serviços,Optio laborum ipsam earum quidem beatae.,1771.08,0
46,1,2026-02-07,Saída,Marketing,Perspiciatis nihil minima est dolore.,11959.97,1
47,1,2026-08-29,Entrada,Receita de Venda,Ab error distinctio consequatur.,29808.84,1
48,1,2025-12-06,Entrada,Receita de Venda,Blanditiis libero inventore consectetur minus dolorem.,35011.05,1
49,1,2026-03-26,Saída,Salário,Asperiores similique aliquam accusantium ullam similique.,23907.19,0
50,1,2026-04-02,Entrada,Empréstimo,Illo odit enim illo vitae cupiditate veniam.,26870.89,1
51,2,2026-02-18,Saída,Salário,At sapiente doloribus nihil minima id.,15228.23,0
52,2,2025-12-26,Saída,Pagamento de Fornecedor,Dolore quod asperiores odio minus deserunt.,25502.31,0
53,2,2026-06-14,Saída,Salário,Quas reprehenderit repellendus dolores corporis deserunt.,13062.35,1
54,2,2026-04-11,Saída,Despesas Administrativas,Debitis quo laudantium quidem.,21248.53,1
55,2,2026-06-08,Saída,Aluguel,Perspiciatis sunt officia voluptates eum voluptas et.,22040.48,0
56,2,2026-02-11,Saída,Despesas Administrativas,Ipsam esse earum animi magni est iste.,13999.73,0
57,2,2025-09-24,Saída,Manutenção,Asperiores sint sequi nostrum magni.,25566.22,0
58,2,2026-02-19,Entrada,Empréstimo,Veritatis qui aliquam tenetur nemo deleniti non.,44140.74,0
59,2,2026-03-05,Entrada,Aporte de Capital,Ipsum repellat saepe voluptatem.,28707.56,0
60,2,2025-10-04,Saída,Manutenção,Aliquam provident voluptatibus minima.,958.13,0
61,2,2026-04-14,Saída,Aluguel,Fuga eligendi illum excepturi nisi ratione.,14677.74,1
62,2,2026-04-28,Saída,Combustível,Ex nam harum dolorum.,10276.13,0
63,2,2026-07-11,Saída,Pagamento de Fornecedor,Sit ex nesciunt consequuntur expedita voluptas praesentium hic.,15547.15,0
64,2,2026-04-09,Entrada,Receita de Venda,Est fugiat recusandae repellat.,12447.12,0
65,2,2026-05-06,Saída,Despesas Administrativas,Atque perferendis magni accusantium est veritatis exercitationem.,16699.77,0
66,2,2026-06-10,Entrada,Aporte de Capital,Dolorem consequuntur aspernatur sapiente aut.,32472.19,0
67,2,2026-06-12,Saída,Despesas Administrativas,Alias excepturi quisquam consectetur fugiat cum rerum.,23808.69,0
68,2,2026-06-12,Entrada,Empréstimo,Quam aliquam facilis quaerat.,11469.02,1
69,2,2026-08-23,Entrada,Empréstimo,Eligendi quibusdam ipsum modi est repellat iusto rerum.,33366.02,0
70,2,2026-01-16,Saída,Despesas Administrativas,Voluptates iure eligendi fugit minima vitae repellendus.,16648.84,1
71,2,2026-06-23,Saída,Marketing,Sit amet laboriosam fuga.,29899.28,0
72,2,2026-08-11,Saída,Manutenção,Sed eligendi quis earum temporibus corporis ipsa.,21115.36,0
73,2,2026-08-15,Saída,Combustível,Repellendus suscipit ut impedit id.,7616.97,0
74,2,2026-01-18,Entrada,Recebimento de Cliente,Voluptatum fugiat adipisci ut saepe officiis.,16119.62,0
75,2,2026-06-19,Entrada,Recebimento de Cliente,Alias totam iusto rerum.,11211.04,1
76,2,2026-06-07,Saída,Combustível,Ipsum a aspernatur ducimus rerum molestias quas.,21765.09,0
77,2,2026-03-15,Saída,Salário,Quod dolores commodi dolores.,24995.59,0
78,2,2026-04-25,Saída,Impostos,Itaque beatae temporibus nisi accusamus maiores doloribus corporis.,10890.34,0
79,2,2026-02-07,Saída,Pagamento de Fornecedor,Explicabo necessitatibus deleniti pariatur minima facere veritatis molestias.,21269.75,1
80,2,2026-06-18,Entrada,Empréstimo,Mollitia hic iusto odio voluptatem ducimus accusamus.,2753.03,0
81,2,2026-06-18,Entrada,Recebimento de Serviços,Dolores omnis aut neque quidem consequatur.,14960.76,0
82,2,2026-01-10,Entrada,Aporte de Capital,Repellendus cupiditate quod iure possimus occaecati.,5578.09,1
83,2,2026-06-27,Entrada,Recebimento de Serviços,Quaerat velit alias dicta.,14574.8,0
84,2,2026-06-19,Saída,Despesas Administrativas,Et est id.,10287.11,0
85,2,2026-06-28,Entrada,Empréstimo,Ducimus quidem deleniti explicabo quos sint ex.,47082.65,1
86,2,2025-10-19,Saída,Salário,Ipsa id ipsam vero excepturi deleniti.,24681.26,1
87,2,2026-05-14,Saída,Despesas Administrativas,Unde maxime reiciendis quas aspernatur nobis.,2315.06,1
88,2,2026-07-01,Entrada,Recebimento de Cliente,Eos aut eveniet eos ipsum quaerat cumque.,7885.28,0
89,2,2026-02-13,Saída,Salário,Aliquam sit explicabo voluptatum earum voluptatem veniam.,29818.15,1
90,2,2025-10-01,Entrada,Recebimento de Serviços,Facilis reiciendis perspiciatis veritatis consequuntur non.,38339.95,1
91,2,2026-06-16,Entrada,Recebimento de Serviços,Commodi doloremque officia.,19328.71,1
92,2,2026-01-14,Saída,Combustível,Adipisci corrupti ipsum fuga ipsam asperiores consequuntur.,25818.98,0
93,2,2026-01-15,Saída,Combustível,Officiis dolorum beatae quasi libero harum.,17102.02,1
94,2,2026-03-28,Entrada,Recebimento de Serviços,Quod provident dolor nostrum possimus.,48025.38,0
95,2,2026-09-03,Entrada,Recebimento de Cliente,Commodi sequi iste tempore ipsum.,31462.99,0
96,2,2025-10-06,Saída,Salário,Pariatur quae mollitia enim error culpa.,4796.01,0
97,2,2026-05-20,Entrada,Recebimento de Serviços,Recusandae magni commodi dicta.,4215.71,1
98,2,2025-10-24,Entrada,Aporte de Capital,Ad mollitia fuga rem mollitia nostrum assumenda.,22799.93,0
99,2,2025-12-25,Saída,Combustível,Minima quisquam reprehenderit asperiores voluptas odit ipsum.,1075.93,0
100,2,2026-05-10,Saída,Combustível,Consectetur repudiandae mollitia nesciunt quisquam consectetur.,21119.33,0
101,3,2026-03-06,Saída,Salário,Rerum maxime esse cum.,20652.81,0
102,3,2026-08-11,Saída,Impostos,Exercitationem velit tempora sapiente dolorum.,12811.66,0
103,3,2026-04-23,Entrada,Recebimento de Cliente,Earum numquam nostrum atque odit nihil neque.,45466.37,1
104,3,2025-11-05,Entrada,Receita de Venda,Quam non sapiente natus repudiandae adipisci aliquid odit.,3452.08,0
105,3,2026-04-02,Saída,Combustível,Quisquam impedit odit libero occaecati.,13230.69,0
106,3,2025-12-18,Saída,Combustível,Laboriosam rem placeat error asperiores.,21022.04,0
107,3,2025-09-25,Saída,Despesas Administrativas,Impedit iure excepturi corporis similique eum.,13188.99,0
108,3,2026-08-30,Entrada,Aporte de Capital,Voluptate consectetur fuga natus eum iure.,36859.43,0
109,3,2025-12-10,Saída,Pagamento de Fornecedor,Consequuntur amet veniam sint in.,2830.67,0
110,3,2026-08-21,Entrada,Empréstimo,Repellendus ut quam deleniti.,29024.23,0
111,3,2025-11-01,Entrada,Aporte de Capital,Iure soluta libero at hic itaque dolores.,26188.71,0
112,3,2026-04-04,Saída,Combustível,Amet libero sunt.,5526.53,0
113,3,2026-04-30,Saída,Despesas Administrativas,Enim ab autem consequatur eaque facilis illo.,29074.75,0
114,3,2025-09-20,Saída,Manutenção,Necessitatibus deserunt mollitia.,12309.61,0
115,3,2025-09-30,Saída,Salário,Ipsum mollitia repudiandae numquam nostrum consectetur atque.,25746.22,0
116,3,2026-01-18,Saída,Marketing,Nam facilis corporis nobis illo aliquam.,20840.84,0
117,3,2025-09-18,Saída,Marketing,Rem maxime corrupti tempora consequuntur ut.,24425.62,0
118,3,2025-12-29,Entrada,Aporte de Capital,Voluptatibus qui error excepturi repudiandae minus.,4858.96,0
119,3,2026-05-20,Saída,Manutenção,Labore accusantium ex autem impedit.,3566.06,0
120,3,2025-12-25,Saída,Pagamento de Fornecedor,Ad labore voluptas quos quod neque quam nesciunt.,19764.05,1
121,3,2025-11-05,Saída,Marketing,Quam quo fugit reprehenderit doloribus nemo praesentium deleniti.,1720.7,0
122,3,2026-02-11,Saída,Despesas Administrativas,Corrupti porro illum quod ullam sit.,18799.72,0
123,3,2026-05-30,Entrada,Recebimento de Cliente,Provident maxime natus voluptatum.,13719.28,0
124,3,2026-02-25,Entrada,Empréstimo,Et cupiditate totam exercitationem explicabo quo.,22186.75,0
125,3,2026-05-25,Saída,Salário,Nostrum deleniti doloribus nam dolore.,963.2,0
126,3,2026-08-25,Entrada,Recebimento de Cliente,Quo provident porro laborum laboriosam.,15882.13,0
127,3,2026-03-27,Entrada,Recebimento de Serviços,Enim nemo molestiae tempore hic.,20695.54,1
128,3,2026-01-07,Entrada,Receita de Venda,Enim enim quae expedita.,23341.67,0
129,3,2026-02-12,Entrada,Recebimento de Cliente,Quibusdam distinctio repudiandae earum natus.,25169.59,0
130,3,2025-12-12,Saída,Combustível,Nulla nesciunt doloribus pariatur.,12523.16,1
131,3,2026-03-16,Saída,Despesas Administrativas,Amet impedit quaerat aut quo.,7387.55,0
132,3,2025-09-05,Entrada,Aporte de Capital,Voluptate culpa officiis sunt labore officiis quidem.,9935.21,1
133,3,2025-12-17,Entrada,Receita de Venda,Officia tenetur at nemo modi.,14174.25,0
134,3,2026-05-25,Saída,Manutenção,Totam cupiditate sunt.,28034.03,0
135,3,2025-11-07,Saída,Pagamento de Fornecedor,Voluptatum id libero.,8556.89,0
136,3,2026-08-11,Saída,Despesas Administrativas,Soluta ab necessitatibus autem voluptatem.,25971.29,0
137,3,2025-12-16,Saída,Despesas Administrativas,Minima suscipit consequatur magnam earum repellat ex.,10419.21,0
138,3,2026-05-28,Saída,Despesas Administrativas,Quaerat accusamus excepturi eos perferendis.,27992.28,0
139,3,2025-11-13,Entrada,Recebimento de Cliente,Sequi tempore repudiandae maiores assumenda pariatur delectus consequuntur.,28803.98,0
140,3,2025-12-31,Entrada,Aporte de Capital,Ab fugit ipsum eaque eveniet.,2660.54,0
141,3,2026-04-04,Saída,Marketing,Accusamus officiis possimus aperiam blanditiis esse illo.,11643.75,1
142,3,2026-03-06,Entrada,Aporte de Capital,Porro odit velit facilis dolore.,48258.81,0
143,3,2026-08-19,Entrada,Recebimento de Serviços,Corrupti quibusdam non impedit molestias iusto modi.,48285.0,0
144,3,2026-05-04,Saída,Salário,Quis perspiciatis nisi ratione minima.,26238.29,0
145,3,2026-03-15,Saída,Salário,Aspernatur natus aperiam molestias magnam nemo.,15825.94,1
146,3,2025-10-28,Saída,Pagamento de Fornecedor,Sequi ipsam perspiciatis quaerat laborum tempore.,21701.07,0
147,3,2026-02-13,Saída,Aluguel,Iste maiores itaque animi.,2337.36,0
148,3,2026-02-19,Saída,Manutenção,Quam id repellendus quia neque.,18735.46,1
149,3,2025-09-20,Saída,Salário,Praesentium molestiae animi tempora voluptates iusto.,25567.78,0
150,3,2025-12-17,Saída,Manutenção,Quisquam quisquam voluptatem officia.,18841.3,0
151,4,2026-02-04,Saída,Pagamento de Fornecedor,Ipsum totam fugiat aspernatur vitae soluta.,18562.04,0
152,4,2025-10-22,Entrada,Empréstimo,Blanditiis voluptatibus hic consectetur voluptatem rerum.,49872.58,0
153,4,2026-06-07,Entrada,Aporte de Capital,Iure quaerat incidunt fugit dolorem.,48927.72,0
154,4,2026-02-19,Entrada,Aporte de Capital,Eius vel quam beatae.,8735.06,0
155,4,2026-06-26,Saída,Pagamento de Fornecedor,Nostrum vel suscipit dolores architecto nisi.,1475.13,0
156,4,2026-02-13,Entrada,Empréstimo,Doloribus aliquid ipsa.,18243.94,0
157,4,2026-03-20,Saída,Aluguel,Consequuntur voluptatibus doloremque totam.,7401.5,0
158,4,2026-04-02,Saída,Aluguel,Nisi perferendis eum error corporis optio dolore.,5182.51,0
159,4,2025-12-22,Entrada,Recebimento de Serviços,Nam nihil quasi cupiditate.,43606.56,0
160,4,2026-05-09,Entrada,Aporte de Capital,Libero voluptas velit perferendis ratione eum impedit.,45685.04,1
161,4,2025-10-28,Entrada,Recebimento de Cliente,Delectus modi dolores dolorem similique corporis.,23326.92,1
162,4,2026-02-20,Saída,Despesas Administrativas,Natus voluptas nam consequatur.,7734.27,0
163,4,2025-12-01,Entrada,Aporte de Capital,Ex aspernatur ipsum fuga modi.,45109.87,1
164,4,2026-07-03,Entrada,Receita de Venda,Eaque perferendis nobis.,22365.62,0
165,4,2026-07-19,Saída,Combustível,Rem nesciunt perferendis dolor distinctio.,19204.27,0
166,4,2026-08-01,Saída,Combustível,Vero accusamus vel vitae blanditiis.,13759.39,0
167,4,2026-09-03,Saída,Impostos,Totam possimus provident id dolores eum eligendi.,29981.27,1
168,4,2026-02-21,Saída,Salário,Est facere sunt iure rem quam.,7192.45,0
169,4,2026-06-08,Saída,Combustível,Totam fuga impedit natus dolore corporis.,29781.49,0
170,4,2025-12-08,Saída,Pagamento de Fornecedor,Neque impedit corrupti ex fugit rerum libero omnis.,29340.54,0
171,4,2026-05-11,Saída,Combustível,Quis laborum quam qui itaque.,342.13,0
172,4,2026-05-29,Entrada,Recebimento de Serviços,Cumque quam laborum totam molestiae odit.,37386.02,0
173,4,2025-09-25,Saída,Impostos,Saepe asperiores repellendus.,18251.24,0
174,4,2025-09-21,Saída,Impostos,Impedit sapiente doloremque.,19134.87,0
175,4,2026-05-20,Saída,Aluguel,Dolor iste aperiam.,18884.62,0
176,4,2026-04-24,Entrada,Empréstimo,Totam omnis accusamus minus illum accusantium quam modi.,39536.22,1
177,4,2025-12-17,Entrada,Recebimento de Serviços,Repellat perferendis rem tenetur autem atque corrupti.,18560.63,1
178,4,2025-11-13,Entrada,Receita de Venda,Dolorum explicabo recusandae aspernatur vero itaque doloribus.,45526.58,0
179,4,2026-05-16,Saída,Marketing,Placeat sed officiis similique quis.,5351.64,0
180,4,2025-10-08,Entrada,Recebimento de Serviços,Fugiat labore odio praesentium assumenda sapiente.,43884.8,1
181,4,2026-04-27,Saída,Combustível,Natus similique atque minus aliquam distinctio.,24931.13,0
182,4,2026-07-17,Saída,Despesas Administrativas,Labore aliquid asperiores unde tempore natus adipisci.,29024.78,0
183,4,2026-08-08,Saída,Manutenção,Accusamus dignissimos corporis reprehenderit reprehenderit ut.,24146.55,0
184,4,2025-12-22,Saída,Salário,Dolores rerum harum tempore ex quidem consequuntur.,4308.63,0
185,4,2026-08-30,Entrada,Aporte de Capital,Magnam voluptate amet ipsa.,48379.85,0
186,4,2026-07-07,Saída,Salário,Non nostrum nisi voluptas eveniet odio.,23741.39,0
187,4,2026-06-16,Entrada,Empréstimo,Laudantium explicabo velit inventore perspiciatis optio assumenda.,27060.33,0
188,4,2026-04-17,Saída,Manutenção,Quae aspernatur culpa quae odio.,20217.57,0
189,4,2026-05-31,Saída,Marketing,Facere at velit ipsam quis aut.,24690.28,0
190,4,2025-10-05,Saída,Salário,Ipsum mollitia illum ad explicabo at.,20277.61,0
191,4,2026-04-10,Saída,Pagamento de Fornecedor,Sint accusamus impedit quod quam nam.,18624.45,0
192,4,2026-09-01,Saída,Impostos,Nemo cumque fugit consequuntur error.,19464.81,0
193,4,2026-03-02,Saída,Combustível,Cumque eius error quos.,19512.26,0
194,4,2026-01-13,Entrada,Recebimento de Cliente,Quam libero nulla itaque consequatur.,2744.67,0
195,4,2025-09-06,Entrada,Empréstimo,Ex nulla rem eveniet ex repellendus.,49798.41,1
196,4,2026-07-14,Entrada,Receita de Venda,Consequatur eum veniam dicta et vitae voluptas eos.,12122.6,0
197,4,2026-05-15,Entrada,Aporte de Capital,Voluptas quos eveniet eligendi ratione facilis ut.,22955.37,0
198,4,2025-11-15,Saída,Aluguel,Debitis quisquam ad quas velit distinctio reiciendis.,26573.87,0
199,4,2026-07-04,Entrada,Aporte de Capital,Reprehenderit recusandae illum libero.,30974.78,0
200,4,2026-04-23,Saída,Pagamento de Fornecedor,Dolorum culpa incidunt fugiat ipsum.,20739.39,0
201,5,2026-04-10,Entrada,Aporte de Capital,Id magni ullam porro molestiae ratione facere tempora.,22512.45,0
202,5,2026-03-18,Entrada,Empréstimo,Autem dolorum optio cumque.,5418.05,0
203,5,2026-04-15,Saída,Manutenção,Voluptates perspiciatis id quibusdam vitae inventore ab.,1910.45,1
204,5,2025-12-07,Saída,Impostos,Quia nam porro dolore fugiat iure perspiciatis.,29049.39,0
205,5,2026-05-14,Saída,Salário,Exercitationem ad autem impedit.,19916.79,0
206,5,2026-08-21,Entrada,Receita de Venda,Rerum quas expedita exercitationem.,39446.33,0
207,5,2026-06-17,Entrada,Recebimento de Cliente,Laboriosam labore ipsa possimus eum error repellat.,39455.42,0
208,5,2025-10-16,Entrada,Receita de Venda,Officia perspiciatis cum voluptates doloribus cupiditate.,41575.98,0
209,5,2025-11-01,Entrada,Recebimento de Serviços,Incidunt iure reiciendis occaecati delectus omnis hic.,11189.59,0
210,5,2026-05-31,Entrada,Empréstimo,Ipsum inventore a dolor eius.,38831.24,0
211,5,2026-05-18,Entrada,Empréstimo,Neque reiciendis modi facilis.,42991.1,0
212,5,2025-11-14,Entrada,Recebimento de Cliente,Ea similique minus odit.,27240.67,0
213,5,2026-04-09,Entrada,Receita de Venda,Hic beatae explicabo itaque cupiditate perferendis reiciendis ullam.,33222.35,0
214,5,2026-04-07,Entrada,Recebimento de Cliente,Est dolores blanditiis fuga.,1235.59,1
215,5,2025-10-25,Entrada,Recebimento de Serviços,In consequuntur fugit delectus odio possimus.,16526.69,0
216,5,2026-04-27,Entrada,Empréstimo,Mollitia laudantium consequuntur et.,3093.75,1
217,5,2026-02-15,Saída,Salário,Sint veritatis laborum.,22395.39,1
218,5,2025-11-14,Saída,Despesas Administrativas,Vitae magnam libero placeat impedit saepe.,23362.71,0
219,5,2026-03-01,Entrada,Aporte de Capital,Natus recusandae dolore adipisci.,25440.02,0
220,5,2025-11-25,Entrada,Recebimento de Serviços,Cumque itaque quia quisquam mollitia.,15430.7,0
221,5,2025-10-15,Entrada,Receita de Venda,Eaque molestiae voluptatibus molestiae.,49930.04,0
222,5,2026-06-07,Saída,Marketing,Molestias voluptatibus aut rerum quibusdam error.,20614.32,0
223,5,2026-09-03,Saída,Despesas Administrativas,Ea similique assumenda sint blanditiis repellat distinctio.,2297.37,1
224,5,2026-05-31,Entrada,Empréstimo,Similique nostrum incidunt nulla quos repellendus.,30610.72,0
225,5,2026-06-24,Entrada,Recebimento de Cliente,Expedita eligendi molestiae eum provident enim eaque.,14113.29,0
226,5,2026-07-14,Saída,Marketing,Consequatur quibusdam illum animi.,29839.37,0
227,5,2025-12-14,Saída,Despesas Administrativas,Praesentium consequatur corporis eum.,15215.98,0
228,5,2025-12-03,Saída,Salário,Laudantium neque eaque impedit iste odio.,23813.57,0
229,5,2026-07-22,Entrada,Recebimento de Serviços,Illo quibusdam possimus soluta.,36181.58,1
230,5,2026-02-16,Entrada,Aporte de Capital,Eveniet a quo quasi quasi itaque optio.,22851.97,0
231,5,2026-01-12,Entrada,Aporte de Capital,Recusandae id voluptas repudiandae.,17277.12,0
232,5,2026-03-03,Saída,Marketing,Repudiandae excepturi neque necessitatibus laborum exercitationem.,12538.09,0
233,5,2026-05-11,Entrada,Empréstimo,Aliquid numquam saepe.,21624.82,0
234,5,2025-09-09,Saída,Manutenção,Ipsam a vero dicta.,28612.42,1
235,5,2026-05-13,Saída,Salário,Sunt error soluta soluta.,2827.62,1
236,5,2025-10-08,Entrada,Receita de Venda,Dolorum fuga temporibus cumque id esse.,21877.89,0
237,5,2026-05-17,Saída,Aluguel,Inventore at atque distinctio aspernatur.,16735.48,1
238,5,2026-04-08,Saída,Salário,Perspiciatis ab possimus repellendus voluptates in consequatur.,12383.18,0
239,5,2025-09-29,Saída,Pagamento de Fornecedor,At rem aut facilis error fugit.,29055.12,0
240,5,2026-06-27,Saída,Manutenção,Odit perspiciatis architecto natus.,3197.66,0
241,5,2026-04-14,Entrada,Recebimento de Cliente,Ipsam quam occaecati corrupti.,33008.45,0
242,5,2026-02-01,Entrada,Receita de Venda,Similique assumenda aut quibusdam nihil fugit.,17830.64,1
243,5,2026-08-21,Saída,Salário,Ratione dolorum officia dolorum nobis quam.,22901.91,0
244,5,2025-12-16,Entrada,Aporte de Capital,Sed omnis error.,42335.18,1
245,5,2026-03-11,Entrada,Recebimento de Serviços,Deleniti hic officia quos recusandae dolores harum.,46489.67,0
246,5,2025-11-30,Saída,Pagamento de Fornecedor,Architecto suscipit accusamus facere et harum saepe in.,5494.44,1
247,5,2026-03-22,Saída,Manutenção,Quis veritatis quo accusantium.,10595.6,0
248,5,2025-09-28,Entrada,Recebimento de Cliente,Dolor ullam veniam id enim.,28532.89,1
249,5,2026-05-22,Saída,Salário,Incidunt illo odit modi corrupti assumenda.,4342.05,0
250,5,2025-10-02,Entrada,Receita de Venda,Voluptate culpa eveniet nesciunt quis.,37432.53,0
251,6,2026-04-29,Entrada,Aporte de Capital,Est ipsa veritatis dolores.,21281.71,0
252,6,2025-12-02,Saída,Aluguel,Blanditiis nostrum animi pariatur omnis cupiditate.,11164.59,0
253,6,2025-09-08,Saída,Salário,Praesentium cum veritatis minima.,26511.93,0
254,6,2026-06-16,Entrada,Recebimento de Cliente,Cumque consectetur quos eaque suscipit.,37844.58,1
255,6,2026-06-12,Entrada,Receita de Venda,Ex inventore minima.,13969.09,0
256,6,2025-12-08,Saída,Despesas Administrativas,Occaecati libero magni animi similique cumque culpa.,18251.57,1
257,6,2026-06-13,Saída,Combustível,Perferendis beatae qui a similique accusamus aliquid.,6545.51,0
258,6,2026-01-14,Entrada,Empréstimo,Debitis vero alias rem.,21780.72,0
259,6,2026-05-22,Saída,Despesas Administrativas,Dolore dolorum totam eum repudiandae nemo.,15855.33,0
260,6,2025-10-17,Saída,Pagamento de Fornecedor,Debitis rem voluptatem.,6693.5,0
261,6,2026-08-18,Entrada,Receita de Venda,Soluta sint quo est.,10618.94,0
262,6,2025-10-05,Entrada,Recebimento de Cliente,Ab dicta natus esse numquam iure nihil.,38325.96,0
263,6,2026-03-03,Saída,Manutenção,Quasi molestias recusandae corrupti ut.,3687.53,1
264,6,2025-09-12,Saída,Marketing,Expedita saepe soluta veritatis a omnis sed.,5353.27,0
265,6,2026-05-27,Saída,Impostos,Dignissimos voluptatem in vero.,15057.84,1
266,6,2026-08-24,Saída,Salário,Quae at ullam tempore.,11972.43,0
267,6,2026-03-12,Entrada,Aporte de Capital,Itaque quibusdam neque magnam odio hic.,1427.71,0
268,6,2026-04-08,Entrada,Empréstimo,Ipsa vitae dolores ea.,29000.08,0
269,6,2025-12-27,Saída,Marketing,Praesentium quasi et earum asperiores dicta.,8756.5,0
270,6,2026-06-15,Saída,Pagamento de Fornecedor,Autem autem ipsum et blanditiis facere quo iste.,28989.37,0
271,6,2026-02-20,Entrada,Recebimento de Serviços,At rem esse provident.,23274.8,1
272,6,2026-04-12,Saída,Salário,Saepe eveniet at dolorum explicabo.,13157.68,0
273,6,2026-03-10,Entrada,Recebimento de Cliente,Ea voluptatibus adipisci illo iste.,22065.99,0
274,6,2026-06-04,Saída,Salário,Atque aut recusandae commodi aperiam.,11933.42,0
275,6,2026-06-16,Saída,Manutenção,Consectetur reprehenderit fuga occaecati officia.,6725.0,0
276,6,2026-04-04,Entrada,Receita de Venda,Totam asperiores voluptatum deserunt officia.,25768.92,1
277,6,2026-06-26,Entrada,Recebimento de Serviços,Temporibus repudiandae ex aliquam.,25742.63,0
278,6,2026-02-19,Saída,Manutenção,Unde inventore quam libero.,21848.64,0
